expr,pub_date,ref_date,value
aa,2017-10-01,2018-03-01,2.6535238204243
aa,2017-11-01,2017-09-01,2.63703430313805
aa,2017-11-01,2017-12-01,2.68854112623966
aa,2017-11-01,2018-03-01,2.6535238204243
aa,2017-12-01,2017-12-01,3.098226057111
aa,2017-12-01,2018-03-01,2.86045500347457
aa,2017-12-01,2018-06-01,2.69802850322008
aa,2018-01-01,2017-12-01,3.098226057111
aa,2018-01-01,2018-03-01,2.86045500347457
aa,2018-01-01,2018-06-01,2.69802850322008
aa,2018-02-01,2017-12-01,3.098226057111
aa,2018-02-01,2018-03-01,2.86045500347457
aa,2018-02-01,2018-06-01,2.69802850322008
aa,2018-03-01,2018-03-01,2.56498742143371
aa,2018-03-01,2018-06-01,2.46199112315556
aa,2018-03-01,2018-09-01,2.64042797348545
aa,2018-04-01,2018-03-01,2.56498742143371
aa,2018-04-01,2018-06-01,2.46199112315556
aa,2018-04-01,2018-09-01,2.64042797348545
aa,2018-05-01,2018-03-01,2.56498742143371
aa,2018-05-01,2018-06-01,2.46199112315556
aa,2018-05-01,2018-09-01,2.64042797348545
aa,2018-06-01,2018-06-01,2.32703575282871
aa,2018-06-01,2018-09-01,2.53187821214091
aa,2018-06-01,2018-12-01,2.65593932313052
aa,2018-07-01,2018-06-01,2.32703575282871
aa,2018-07-01,2018-09-01,2.53187821214091
aa,2018-07-01,2018-12-01,2.65593932313052
aa,2018-08-01,2018-06-01,2.32703575282871
aa,2018-08-01,2018-09-01,2.53187821214091
aa,2018-08-01,2018-12-01,2.65593932313052
aa,2018-09-01,2018-09-01,3.22516979759422
aa,2018-09-01,2018-12-01,3.20765258613184
aa,2018-09-01,2019-03-01,3.03059594315186
aa,2018-10-01,2018-09-01,3.22516979759422
aa,2018-10-01,2018-12-01,3.20765258613184
aa,2018-10-01,2019-03-01,3.03059594315186
bdfm,2008-01-01,1980-03-01,1.85959978007423
bdfm,2008-01-01,1980-06-01,-2.64010471102717
bdfm,2008-01-01,1980-09-01,2.2244446220061
bdfm,2008-01-01,1980-12-01,5.53391117371738
bdfm,2008-01-01,1981-03-01,3.48197936422283
bdfm,2008-01-01,1981-06-01,2.51733235503024
bdfm,2008-01-01,1981-09-01,2.18732710445493
bdfm,2008-01-01,1981-12-01,-1.47608967832577
bdfm,2008-01-01,1982-03-01,-1.67162540925817
bdfm,2008-01-01,1982-06-01,-1.59353963117802
bdfm,2008-01-01,1982-09-01,-1.42422217411336
